piece_id,size
1,5
2,3
3,8
4,4
5,7
6,8
7,6
8,3
9,9
10,7
11,1
12,3
13,5
14,1
15,5
16,2
17,3
18,3
19,9
20,4
21,2
22,5
23,4
24,5
25,3
26,7
27,2
28,5
29,2
30,6
31,9
32,4
33,2
34,8
35,3
36,5
37,6
38,8
39,6
40,4
41,7
42,8
43,9
44,1
45,5
46,5
47,4
48,3
49,2
50,2
51,6
52,1
53,1
54,9
55,6
56,5
57,6
58,1
59,4
60,6
61,6
62,7
63,4
64,8
65,9
66,1
67,3
68,1
69,3
70,2
71,4
72,1
73,9
74,6
75,7
76,6
77,9
78,5
79,3
80,2
81,4
82,4
83,9
84,1
85,5
86,8
87,7
88,8
89,9
90,9
91,5
92,7
93,3
94,1
95,8
96,5
97,9
98,2
99,9
100,9
