dataset,size,instance,algorithm,run,num_bars,total_waste,fitness,execution_time_ms,memory_kb
instance_n20_i1.csv,20,1,Greedy_FFD,1,16,38,16.2375,0.027894973754882812,4.875
instance_n20_i1.csv,20,1,Greedy_FFD,2,16,38,16.2375,0.015974044799804688,2.7578125
instance_n20_i1.csv,20,1,Greedy_FFD,3,16,38,16.2375,0.014781951904296875,2.28125
instance_n20_i1.csv,20,1,Greedy_FFD,4,16,38,16.2375,0.014066696166992188,2.28125
instance_n20_i1.csv,20,1,Greedy_FFD,5,16,38,16.2375,0.014066696166992188,2.28125
instance_n20_i1.csv,20,1,Genetic,1,16,38,16.2375,309.9017143249512,922.359375
instance_n20_i1.csv,20,1,Genetic,2,16,38,16.2375,307.74879455566406,915.296875
instance_n20_i1.csv,20,1,Genetic,3,16,38,16.2375,297.3799705505371,915.421875
instance_n20_i1.csv,20,1,Genetic,4,16,38,16.2375,297.3792552947998,916.859375
instance_n20_i1.csv,20,1,Genetic,5,16,38,16.2375,308.45189094543457,915.6328125
instance_n20_i2.csv,20,2,Greedy_FFD,1,13,14,13.107692307692307,0.02002716064453125,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,2,13,14,13.107692307692307,0.013113021850585938,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,3,13,14,13.107692307692307,0.011920928955078125,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,4,13,14,13.107692307692307,0.012159347534179688,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,5,13,14,13.107692307692307,0.011920928955078125,1.90625
instance_n20_i2.csv,20,2,Genetic,1,13,14,13.107692307692307,273.5157012939453,809.1640625
instance_n20_i2.csv,20,2,Genetic,2,13,14,13.107692307692307,272.4778652191162,809.6953125
instance_n20_i2.csv,20,2,Genetic,3,13,14,13.107692307692307,278.61499786376953,812.3671875
instance_n20_i2.csv,20,2,Genetic,4,13,14,13.107692307692307,270.2949047088623,808.90625
instance_n20_i2.csv,20,2,Genetic,5,13,14,13.107692307692307,273.3321189880371,808.15625
instance_n20_i3.csv,20,3,Greedy_FFD,1,8,5,8.0625,0.05125999450683594,1.21875
instance_n20_i3.csv,20,3,Greedy_FFD,2,8,5,8.0625,0.014066696166992188,1.21875
